Echo 1
0.551817 2.09769 -0.459473 
0.586036 1.94626 -0.560779 
0.286111 2.42235 -0.289921 
0.356734 2.33922 -0.374668 
0.312742 1.54523 -0.627952 
0.18716 1.51243 -0.795989 
0.446735 1.44224 -0.69574 
0 1.53755 -1.16554 
0.663602 1.37186 -0.616591 
0.882976 1.64597 -0.880138 
0.516843 1.50055 -0.863008 
0.883406 1.81607 -0.802741 
0.706791 1.99396 -0.583894 
-0.326855 1.35774 -0.795677 
-0.335664 1.25595 -0.708793 
-0.528989 1.25868 -0.717756 
-0.737016 1.67334 -0.828562 
0 1.73744 -0.696943 
-0.18334 1.43881 -0.794942 
-0.258362 1.67841 -0.623657 
-0.458829 1.97614 -0.231886 
-0.60783 1.78524 -0.476984 
-0.358746 1.79733 -0.384041 
-0.547058 1.84735 -0.663637 
-0.51316 1.81509 -0.581718 
-0.247009 2.48357 -0.35659 
-0.343929 2.0764 -0.309244 
-0.717171 1.93402 -0.340623 
-0.850971 1.47265 -0.190834 
-0.75444 1.86453 -0.374199 
-0.709818 1.53492 -0.0157753 
-0.601179 1.55258 -0.579695 
-0.777515 1.71344 -0.647103 
-0.995437 1.42944 -0.590469 
-1.07094 1.42446 -1.03306 
-0.668882 1.86204 -0.778228 
-0.623715 1.80156 0.411989 
-0.976935 1.62286 0.378716 
-0.703054 1.27097 0.499944 
-0.724662 1.62902 0.740575 
-0.673768 1.51421 -0.0173956 
